guid,price,date
"E20 1GQ, 6c16f2711ecebe249daf0b0f9a0bdf1db6b3b53b",413000,2019-04-05
"E20 1GQ, 56f31918ef3b2a033a2942ad6b0f951e9bcbee3f",343000,2019-04-05
"E20 1GQ, 6a3ae3f0b27b5b8546909472ddbcb32b47dd63d5",437500,2019-04-05
"E20 1GQ, 029e54e6121bdffde77c4813b99aeb781a058d36",437500,2019-04-05
"E20 1GQ, ecb5ee8615ae94d5e6cf836761cc86b79653e9e3",416500,2019-04-05
"E20 1GQ, 0146c5bde81ea8b759d32672e64148ac522d0179",343000,2019-04-05
"E20 1GQ, 189b13826e7a1723f3bf2b0d5a58cbd97db9cfc3",444500,2019-04-05
"E20 1GQ, 8b322e1c166723203829e63cf4944dff54cfca9d",511000,2019-04-05
"E20 1GQ, 47aeb83a0cdde943bdd2875f0fc563eccdbd2516",507500,2019-04-05
"E20 1GQ, 644a8cc86d6b51f82ec9269ad90c4d74b2918fef",374500,2019-04-05
"E20 1GQ, 1f9fb59752a9c477f414ad9267b3dcb2ea28a7c8",357000,2019-04-05
"E20 1GQ, 3e8e21c28e9f5773c20b674ba0b3e31479cf9d25",332500,2019-04-05
"E20 1GQ, 196025a26a55a032f6f085122f87b3cf041d26f4",367500,2019-04-05
"E20 1GQ, 774fb0ca8547b5c8b4941da90f785eb28ad3edba",378000,2019-04-05
"E20 1GQ, 75c3b93bb1788e4b62b105099e22e9843319c062",516250,2019-04-05
"E20 1GQ, 91be6cc48d341dfbe07eb0f74de6c651a1b8d435",378000,2019-04-05
"E20 1GQ, d87b25d3fafcaa77ed725f7b40ca4e9c1c549a86",378000,2019-04-05
"E20 1GQ, d40e42dda88a26fada685374b6932a93368e829d",360500,2019-04-05
"E20 1GQ, 70db55c24d8ccb4c74f6e1e7457d8737f1808e3f",336000,2019-04-05
"E20 1GQ, 1c56cbf6102094f220a688e789f533bb004c708b",336000,2019-04-05
"E20 1GQ, b252958a4a7835dd9a07f6af2631484ae1571b79",371000,2019-04-05
"E20 1GQ, 9ce9157afb850f8eefad549745bb55371d6cd012",381500,2019-04-05
"E20 1GQ, 99e5c858391155b20c21aa911ecb3497738eae3c",381500,2019-04-05
"E20 1GQ, 1dfc029da192ce69fdf23e3b5ceb8c97b5f7dffa",364000,2019-04-05
"E20 1GQ, ed771433b8576b90be989a6076dabf6b3d283e1a",339500,2019-04-05
"E20 1GQ, 672a8feaef4818492b5bd52ca419ffdaa3096953",339500,2019-04-05
"E20 1GQ, a73bb4393451777224c6913b83dd526e1380a1d9",374500,2019-04-05
"E20 1GQ, 87bea5822450e2bce34cf9c0f518e09d08ddb221",512750,2019-04-05
"E20 1GQ, 05874ca2b156d6bd0b66035e7b4c6be20c966562",385000,2019-04-05
"E20 1GQ, d9f6261f0215ad6a3b8d1f73ce35feb18d005833",526750,2019-04-05
"E20 1GQ, 8961a928b48a80ee16f31285ce2873f0aedd44c9",523250,2019-04-05
"E20 1GQ, b49d053b953bd568ae662e5ce67f399f77fc1bab",385000,2019-04-05
"E20 1GQ, 41b17f6f37917b4d3a5df842244255fe620c9b74",385000,2019-04-05
"E20 1GQ, e392a015be71d02fffcf60cc21ee7cd761de3749",367500,2019-04-05
"E20 1GQ, 946fc904dd6ec3aba197924e33518a24a54b8979",343000,2019-04-05
"E20 1GQ, 2f85e2f55db70a45aa4acec3772abc060003a8e9",378000,2019-04-05
"E20 1GQ, bedcb51158722cb5f7a898289cd9ba9434587333",388500,2019-04-05
"E20 1GQ, 5a50526c543be022bd40883559ae413f159c2ee9",388500,2019-04-05
"E20 1GQ, cccea8e375545df7f559aa94608adc55c66c511a",528500,2019-04-05
"E20 1GQ, 65d8089886914dd913baf8372a03bb34e11681b0",388500,2019-04-05
"E20 1GQ, 9120394033d92577e84310893d987256bbb8e12a",388500,2019-04-05
"E20 1GQ, 969c952b770500eba2714276cd8c21dab2262c0d",371000,2019-04-05
"E20 1GQ, 9b46de6fb0f30e151faf9c2f16ee455510501250",346500,2019-04-05
"E20 1GQ, 2c61e3e830c0119f6ecb66a92a6de54c18917891",346500,2019-04-05
"E20 1GQ, 89ff5fec6772f7a8279bea4182a158e84ba57b0c",381500,2019-04-05
"E20 1GQ, 632166a3f30116e3386aba317e48346e71d7f206",537250,2019-04-05
"E20 1GQ, 9932da540a4f0e24445741b90abe2edb41536e99",533750,2019-04-05
"E20 1GQ, b15c8898b74aae32f429a16c66aaac3cf8835f4e",392000,2019-04-05
"E20 1GQ, 7d15e363b390593b8696d369dc48f1621954c7fb",392000,2019-04-05
"E20 1GQ, c9f84878f9dea0a0b1174a2d747c1c037e334997",374500,2019-04-05
"E20 1GQ, d757d7b8702f66332e992540fbe2b2d7b246d46a",350000,2019-04-05
"E20 1GQ, 7880083c0e71697e385e1fdea5616d93d6cdebed",350000,2019-04-05
"E20 1GQ, a3abb674d596f19a3eb040a9a199ead2f1e82de5",385000,2019-04-05
"E20 1GQ, dad469b1d510f416dcb584a0f30410bc7963d43f",542500,2019-04-05
"E20 1GQ, ab3f881d5ca2f5bb039654a08645b446409e0322",539000,2019-04-05
"E20 1GQ, 82e54e745b75b5291d3b4d834d8ba71477811f0b",395500,2019-04-05
"E20 1GQ, 6d7dafcdc50cb25afa1fe4540b3026963bb0afd4",395500,2019-04-05
"E20 1GQ, 42daba01c2f33026eb3cd57047e885241cd01e01",378000,2019-04-05
"E20 1GQ, 49fc334c8c4159597adbe66d77e975b89760aeb4",353500,2019-04-05
"E20 1GQ, cfde796ba95556137b66f923e54b49879893ee63",353500,2019-04-05
"E20 1GQ, 9f1ba7b51654e24c2fba71d3ec6f349b5f1bc7ff",388500,2019-04-05
"E20 1GQ, 79845272d12366a47dd7a2d71697b773d1ab4aa3",399000,2019-04-05
"E20 1GQ, d2dbdd9d5bc756548ed9cb15570be5c7e74d04e2",547750,2019-04-05
"E20 1GQ, 3230fb3d41348e9fe7d7015d42c4944ca3f64569",544250,2019-04-05
"E20 1GQ, 58b69f84ff8b89ff7b4d829cb527acdf4f77498d",399000,2019-04-05
"E20 1GQ, da0c88263beccd9ca38a246a64b806c115c5a34c",399000,2019-04-05
"E20 1GQ, 44ffcf09c52f4dc1c5f5184690f5d53a5fc37bcd",381500,2019-04-05
"E20 1GQ, 3d07f8c66171dcaede6ffeaf659894f28aa860c5",357000,2019-04-05
"E20 1GQ, 21c269c49e2f86fe3a98e4f5016ed508d847864f",357000,2019-04-05
"E20 1GQ, 08d0361c8cf3a7cd46905aed1022ee8ddb87cdd6",392000,2019-04-05
"E20 1GQ, b62773c05beea9fa19c130ff19e784457f5ad9e9",402500,2019-04-05
"E20 1GQ, f0e33cfd7ea4e38c5002f574fc5a2c8744aab590",553000,2019-04-05
"E20 1GQ, d537cd0360c036990ece6cb7b0507d50ccafe134",402500,2019-04-05
"E20 1GQ, 368ead0e25a3f8383e4783f91c6d55b65409e893",402500,2019-04-05
"E20 1GQ, 0f31537d0b7b7ee60ae9235fbccb70174f2c9ca9",385000,2019-04-05
"E20 1GQ, 2652185c54e58c1f282c4c7a0f39817dd25b56e9",360500,2019-04-05
"E20 1GQ, 7a613c48cf09391b04017ac967d56106669c2f8a",360500,2019-04-05
"E20 1GQ, 2ab24ad45fca4c951504b94131e0e1675db58a05",406000,2019-04-05
"E20 1GQ, 5c8573e24939c08d2e70fb9af7abe87e0da7207a",406000,2019-04-05
"E20 1GQ, 6de0b64304d8e825fb825eb5c65d18a818d24636",558250,2019-04-05
"E20 1GQ, 408043d611c16d87115dd8a53238ed17892684b3",630000,2019-04-05
"E20 1GQ, 95feb68f37b3c38d044ad76639b20dde8eb22fc3",308000,2019-04-05
"E20 1GQ, 2d9e703f7ff03bbe6dce8ac09821a4bea99273e0",399000,2019-04-05
"E20 1GQ, a6ed7170ba90c37d9dd273302e5c3862f808f8e6",395500,2019-04-05
"E20 1GQ, 1927b4b4ec5c177b046ea248bf7c0f5336c1981a",448000,2019-04-05
"E20 1GQ, 876affb6525d3dc69a2c49b479da0f5818ca25b7",406000,2019-04-05
"E20 1GQ, f8ea4fb7efa50575721ac2c589bb7ca9791bdad2",402500,2019-04-05
"E20 1GQ, ec19927fa15376545ccfa35b9d6086eed5067391",311500,2019-04-05
"E20 1GQ, 4a0ddfa52db179137ea283b24591d04bea8ed9c1",406000,2019-04-05
"E20 1GQ, 4f33d3f57872e5d75726a6c36030b1bcb3764b6c",399000,2019-04-05
"E20 1GQ, d0b36c3f913c621613d9c613ee9e431cf0d94cdd",455000,2019-04-05
"E20 1GQ, 8ca7d2f204c4ef4aac7a4c08e73cd2742f07018b",735000,2019-04-05
"E20 1GQ, 0baed7eac1c8a6eaf98c79cf412b6ce587c95cf2",805000,2019-04-05
"E20 1GQ, f24b855aae0c748067759e6549b32e3556f6a858",840000,2019-04-05
"E20 1GQ, ebbdfa91a19b01bccf5da614fcf85b5ec167028f",770000,2019-04-05
"E20 1GQ, 3e83f37e3a0f1817d46b347cf18a8bf9f6dd1cae",575750,2019-04-05
"E20 1GQ, 494c95068acaa367380a0a13858b0205c96ca626",420000,2019-04-05
"E20 1GQ, 2b4b8e2cdf5ccf363e3dc02600df063cca333174",420000,2019-04-05
"E20 1GQ, 0ddaeabe0ecc6f0a75c2278ad0ee8b61ef511936",402500,2019-04-05
"E20 1GQ, 1ea9f53bb073dca7af34db778b843c7ec2261f30",374500,2019-04-05
"E20 1GQ, f7d0b346d9ebeeb04ce1f567355ab79295ea5e5b",374500,2019-04-05
"E20 1GQ, 161b767293d9960fdfd15bfb59effd82c2dd6423",423500,2019-04-05
"E20 1GQ, 2446b979d4db71d7b8ab11d0059b24dee21d2b3e",423500,2019-04-05
"E20 1GQ, a0d791166ce454b3a5e34d3bc629bccc929208c9",584500,2019-04-05
"E20 1GQ, ee72ab700eb1ff87f6850f2b38cd24aaaf46cda7",805000,2019-04-05
"E20 1GQ, 0e6fe6fbf8c042ec005fedcbbe74e80fd7edb70e",413000,2019-04-05
"E20 1GQ, 794e0b257224f237e9247129582d665188c12df2",413000,2019-04-05
"E20 1GQ, cc2158966cc07c568f7bc49c11d00ed87b4c22ed",406000,2019-04-05
"E20 1GQ, 770daf6ee88a6bdc0d1a62264668ee296b0fbc71",378000,2019-04-05
"E20 1GQ, 0400ee70e15c4a77fcb1ea64f261e8055cc0aa24",378000,2019-04-05
"E20 1GQ, ec9e4777fbb986e897648e4b2a5e6cc7fccf98d8",416500,2019-04-05
"E20 1GQ, d670ab162d87194a8a0ac005ec6bbbb2679bf663",409500,2019-04-05
"E20 1GQ, ab4c2709373c445e3887871636346eecb56afeed",409500,2019-04-05
"E20 1GQ, deb0b92b4c965cdaffa80e246eb23688dd882a64",805000,2019-04-05
"E20 1GQ, 1b8e2eb9203f92941ec9758d3419e77425bf3cb3",427000,2019-04-05
"E20 1GQ, 094b559570c57fb0fb2a9d9771448d2b526e567e",409500,2019-04-05
"E20 1GQ, 70b6720e9c3274ad834d9821862a8f0ebf6c5063",409500,2019-04-05
"E20 1GQ, e09925f81faac0418b1ecf534a95c45f999634bf",430500,2019-04-05
"E20 1GQ, dc6c43aac9a4daceafc6a41c7d32a18a9d4ed76e",420000,2019-04-05
"E20 1GQ, 2c676764635ba7520a67fbe718356299cff814b4",420000,2019-04-05
"E20 1GQ, e3d9c4dcd513f42d041fb45e42cc534dd079bc6c",409500,2019-04-05
"E20 1GQ, ae5bf22120e567968beec5472df624f390863848",385000,2019-04-05
"E20 1GQ, ce048fe99ee745e7a17c3995247277d4f026dfc0",385000,2019-04-05
"E20 1GQ, 8b14602892260cdbb44bd1184102cec704ae7628",423500,2019-04-05
"E20 1GQ, 4517b8677f3829e7dc2e307e2209715f51b68e9d",416500,2019-04-05
"E20 1GQ, 4b1ba2c485661ac02380cad313492f26a722d652",416500,2019-04-05
"E20 1GQ, b3b04b80c318a1ef4d096c8a0d8dc10159af0b63",600250,2019-04-05
"E20 1GQ, 48331ec5fb62856b652691611470f1737e689ddd",840000,2019-04-05
"E20 1GQ, 7cd395b410fdc7d5f02dfaab33b4462254dc8fdc",423500,2019-04-05
"E20 1GQ, 344a0307e036448e9fd6ba2f0eddcd27e5d551d5",434000,2019-04-05
"E20 1GQ, 83c522478b8d542d6756b902dc7701e849e962be",413000,2019-04-05
"E20 1GQ, c7913bb873e80f07082d8411fb755e729d61cb0d",388500,2019-04-05
"E20 1GQ, 8c9dca41730a10b6e377792c3430b2c7f0eb63b7",388500,2019-04-05
"E20 1GQ, cd0965f97ee9eda1de04d696d6628b056db9527b",427000,2019-04-05
"E20 1GQ, e150df6a3f79f6ae851a6971ee8a400538dd60dd",420000,2019-04-05
"E20 1GQ, 17fc09efea0ae371baf05ea28faf1b28e860901f",420000,2019-04-05
"E20 1GQ, 1d5615096b34e84c545d80adc134425c5672eeb8",840000,2019-04-05
"E20 1GQ, 32e41c025f9189c194241ca8a982210c91437b12",602000,2019-04-05
"E20 1GQ, 0f1c5031b5d12d7253da410db2a7f224172f7d0a",420000,2019-04-05
"E20 1GQ, 150f6f37a3f3942853624b87855496091e415759",420000,2019-04-05
"E20 1GQ, 011f17ee388489a2372e2e2ef566f4526b0ae172",441000,2019-04-05
"E20 1GQ, 670b7dc247135407151ce83e6b813b96dcc44321",607250,2019-04-05
"E20 1GQ, 614ce9c694ab4064656697150aac7007dc511586",430500,2019-04-05
"E20 1GQ, 77509a9f8f9a70a3261285e8d9a43cef4b6e5d89",325500,2019-04-05
"E20 1GQ, 9fda0c4f838bb087ca5f2ac59247db186b74656f",420000,2019-04-05
"E20 1GQ, 61e5fadd874e1c758fb7c2f2fbbe25c9780d59af",395500,2019-04-05
"E20 1GQ, 6f9f84391f7136f51f031b4d666c0e4486eb11fa",395500,2019-04-05
"E20 1GQ, da8ea66719f70e96ec6d77e90512d7ca22ec56bf",434000,2019-04-05
"E20 1GQ, f5da50b9b980dbc4ccb6ba09797f1a949157b67f",427000,2019-04-05
"E20 1GQ, f2943b6702c6920fb0d8b7d4fd5940375c15ccf4",427000,2019-04-05
"E20 1GQ, d779eb2b8d9fa2fad5b320e77402abcba1863ff4",616000,2019-04-05
"E20 1GQ, 5ad0466a829d03246d29d70808497cac6a409e53",805000,2019-04-05
"E20 1GQ, c548cfe4ce10549509f3d8ffbf149b10e0edf11b",420000,2019-04-05
"E20 1GQ, ae0305be2ee2a1dfebb83d189bf9cc643ef9a9a9",332500,2019-04-05
"E20 1GQ, 980c953be5fa4bdf04f5b9700c716ae79e67e07c",770000,2019-04-05
"E20 1GQ, 54784d49739edd38d0d62d152c86a09692a1d2c7",448000,2019-04-05
"E20 1GQ, feda5312157b13db3185ec2526a1310c737b1dc1",329000,2019-04-05
"E20 1GQ, a4f7adb7af016cdabbd0d699378caa3b47a7ad7e",451500,2019-04-05
"E20 1GQ, 66edaf4c3f44aaf9c68f98caab6ccc31ad4d4263",448000,2019-04-05
"E20 1GQ, 6ad7b5ad6cc22b40f8c102a8854ee175fa2951cc",819000,2019-04-05
"E20 1GQ, 74c225c47541c1f9faac6dd67360aa48839ac6ac",434000,2019-04-05
"E20 1GQ, 664f7e813aaaeb6bab321ffd80343c78b6a33c07",332500,2019-04-05
"E20 1GQ, 7c9364f3b59012ea9efa488b8bd5dd366ecad0a7",784000,2019-04-05
"E20 1GQ, fb0fe1bb4e68b9ccf3334ab7a8fff4eeadd4335d",826000,2019-04-05
"E20 1GQ, 5b4a433777fbea1a195f4725f0ec1149eb791c64",430500,2019-04-05
"E20 1GQ, 7a4d7639f24e19d6bbc0e303bfd8d81aebd5c2c0",791000,2019-04-05
"E20 1GQ, 9075d16e35f66b4945a8b15c60f6125e0b81a9c4",1750000,2019-04-05
"E20 1GQ, 7b59e0f4d6625f8688fbe49d61a62c099398949e",910000,2019-04-05
"E20 1GQ, cd6e2eb5bd8934aecb9ea655b8dbe03edf122ec0",857500,2019-04-05
"E20 1GQ, ff606f0643fe614bb76fc2e75169464d7eb7115c",336000,2019-04-05
"E20 1GQ, 1cce84c70885238f6f2d6edd0988392f7ce987ee",410000,2019-03-12
"E20 1GQ, f9caceabad17eefbf1481f611f690024ff66ecc8",1600000,2019-09-06
"E20 1GQ, f9b7982bc9a9178ac97f6e881c778da352338dd1",833000,2019-02-26
"E20 1GQ, 769f2eda842789fedcb5de00b973739256fc520a",820000,2019-02-25
"E20 1GQ, 06b0d83ba79b97d7cc0d98a07f814ddff0016875",805000,2019-01-11
"E20 1GQ, 29236ead29533131ab911752b007748402264bf2",595000,2019-04-05
"E20 1GQ, 5aa0a5c2270c37444b60221271187a75dd0642db",455000,2019-04-05
"E20 1GQ, b7a34b837ca9adc7fac6af16818e1b9f4bf83309",273000,2019-04-05
"E20 1GQ, 503d0f32eeda5a8a71ccf60229c3c3018fb9e31e",273000,2019-04-05
"E20 1GQ, 98addc6687d09591aa6f537baa1feb82c2c38724",430500,2019-04-05
"E20 1GQ, 4dbc2213eed1c52c110e720cd0881b3106a93d19",700000,2019-04-05
"E20 1GQ, e21435323d29b3cd92605db732cadda7e1d33181",661500,2019-04-05
"E20 1GQ, 18e9c2f3ae069968bdd12a0c2718da58e89b2f87",255500,2019-04-05
"E20 1GQ, 742c64f21176507cbc860cffbcfedf565dbc5583",1188000,2019-01-11
"E20 1GQ, 79e4a4d05edf13f03bcf0c1884d0a9b5d8cdc600",830000,2019-01-11
"E20 1GQ, edf69068a4d185045dbc2bc91932c01e78492242",462950,2019-01-18
"E20 1GQ, 022a327aeb0d03c60fb790ca35d1a282e7a2c49e",776000,2019-02-05
"E20 1GQ, 05aeb59abc0a520e6eccdee4e057e6d1e0cd2bb0",776000,2019-01-17
"E20 1GQ, 77cc713ff09b41a70e9c3037fa6048da8924d1c3",425000,2019-02-11
"E20 1GQ, 156c67d2616d019fb7476553196be8d320d5d135",655000,2019-02-06
"E20 1GQ, f8cec2e630437b655975d4a080572a08aa9f9757",560000,2019-02-06
"E20 1GQ, 1475523bd7ff913ff21cad71c444835f3c806e52",775000,2019-01-04
"E20 1GQ, 89f6a3aec038ad5b3e61eb63106cd2bdf7e775c0",670000,2019-01-02
"E20 1GQ, 9e0ccc5777f02351643997d9a4f4891f9d5fe0b0",911000,2019-01-11
"E20 1GQ, c666bf467cb2b26f8c209cedf25138629d8904ec",685000,2019-01-11
"E20 1GQ, c10f299b45f122a6b5be9a01f1ded227656d9cf6",741000,2019-01-11
"E20 1GQ, c38b9907cfb0f0796e59248f1e6d8ce78b4b31bd",394000,2019-01-11
"E20 1GQ, 53a017c71536117a5aabb3ed7826685db5c7900f",752500,2019-01-11
"E20 1GQ, 95e7fcff6c5cb6ad081b576345f6443f2727d21b",480000,2019-01-11
"E20 1GQ, e81ddfe07fef6dc5aba884e81342f13da06363ff",1060000,2019-01-21
"E20 1GQ, b8e8bc89c8e5db736ba93423f2e27d84d3598c29",830000,2019-01-18
"E20 1GQ, 66b8be3f6ea496520456b860d8bdd39f05da0fa2",660000,2019-10-03
"E20 1GQ, ee539a345b923d02ffe6c716c40dfeda867d8791",830000,2021-03-30
"E20 1GQ, 497bc9c289f8de1a2afd03e419363d9aafe8c4ca",600000,2021-03-30
"E20 1GQ, 6606d18d4043c2751b85ab3f39863e7784685551",670000,2021-03-30
"E20 1GQ, d0ea5d812a5cc3f9175d9483409e9994438430eb",828824,2021-03-19
"E20 1GQ, c75fe3f072ea3cf73f93a78b083795c97f33c530",627922,2021-03-19
"E20 1GQ, 1a2f3c046cf32d29dd0cb59dab34bb97113127e7",1027004,2021-03-19
"E20 1GQ, d774858fdf5e37d9921d0892736fa90b41ac3d34",955000,2022-04-01
"E20 1GQ, 719314ec9197520dad75b8b6a9eb6faffa33c6be",2625000,2023-01-06
"E20 1GS, 485be45bb3e6be27af6ae21cdebbc72c8148072e",1300000,2021-10-04
"E20 1GT, f0e19065b2a007ff94043129fd77e0f059948238",556000,2018-08-31
"E20 1GT, 4a20d5e775200f52e889f5b8c587a61cb0da7df7",560000,2022-09-20
"E20 1GT, bd64528b04bd31614978185740e795cdb8a406ca",550000,2022-07-04
"E20 1GT, f530bc0b1afa0b5d47a94fac55a2c20510c14bfd",575000,2022-10-27
"E20 1GT, 216bc7f07af7b3eb2e84dcf150f339040a0e2300",555000,2023-07-12
"E20 1GU, 0774a4655111ce949da6460395e1ade827e57195",757055,2015-10-30
"E20 1GU, d9d9f0042b83ea5b00242bcb4bae8609f80fd814",715000,2015-12-23
"E20 1GU, 9547be802be90fa78be07bd61379567e95b56b8c",715000,2015-12-23
"E20 1GU, 3371b86f6dc99022e2c65e268779de3bc5c4fea8",715000,2016-05-05
"E20 1GU, 3371b86f6dc99022e2c65e268779de3bc5c4fea8",865000,2021-09-30
"E20 1GU, 9658792b8fac8b45d316af3cf4d9ee3ef1f280d1",715000,2016-01-05
"E20 1GU, d9864c49ebc8db3118d72da3b11eeaf5f00724fe",725000,2016-12-15
"E20 1GU, 96faf7d17e7d85f83932b053bb00644bfb6d18f6",715000,2016-03-18
"E20 1GU, 49c9f37d7784a8d50de451c8ebfdb96a06198236",715000,2016-03-22
"E20 1GU, 4ba80c30a3ac9681a019bbf8508568c489867ce2",715000,2016-03-18
"E20 1GU, 731d047b69d3a0255e76e6220719e4a18f089932",715000,2016-01-26
"E20 1GU, 9afe71079c2726ab158ed295d9242941492a0427",725000,2016-03-04
"E20 1GU, 9afe71079c2726ab158ed295d9242941492a0427",960000,2022-08-10
"E20 1GU, 3b8b46e3f0c0d2bb9a0b637f1c3ce401ce6b0210",830000,2017-06-30
"E20 1GU, 67911a397fc409d2e53aa2caeda3f15c7106f954",860000,2017-06-30
"E20 1GU, 6500bab239184bcc9e7eab87105e7d0a81b6ab39",830000,2017-06-30
"E20 1GU, 39cf545f7a60453a212dbe977b97c9cab54e8145",835000,2017-06-30
"E20 1GU, d91a874fe66a35f40fd603e8dbc563713231951f",860000,2017-06-30
"E20 1GU, fa5b0befc7dfb081a824b7dc5c4160e94b6afe42",830000,2017-06-30
"E20 1GU, 2f57ca9d303fc0f7ad41e3c3c372f29bc61f236c",830000,2017-07-11
"E20 1GU, 35ea58c6df5e118293320553c35116fc32180ebd",830000,2017-07-07
"E20 1GU, 8da91f4b4414e0578199c0757ef7e674ecd10d6f",860000,2017-06-30
"E20 1GU, e5fc57fa74c35d8b45e8c6c6640a083e9faaafaf",860000,2017-06-30
"E20 1GU, 32dd2b03595f758a0540b6b6468535ce34b92e84",860000,2017-07-11
"E20 1GW, c7b82f19a31a5d18bde3b01687029467075a662b",745000,2015-10-30
"E20 1GW, a24789da5dc036cf82d620f371f56de5625405d4",745000,2015-11-09
"E20 1GW, 3f7488768187867ef25bf287b2888bb7766264c6",765000,2015-10-15
"E20 1GW, fb0ee5cdd8e3053b76f2eabcee9ebf8c89375d52",1050000,2017-12-01
"E20 1GW, 0fe59a416c21fa230c03ac8e6ce5bc7db658021f",985000,2017-11-27
"E20 1GW, 69ffcac82978c1f432d73ba557faf819d963f75d",780000,2017-06-28
"E20 1GW, fb9205d1435509cf4d6fc0e2fcd35af768079f3b",765000,2017-07-12
"E20 1GW, 5755844b373994ef705d8ba39b702cb94299054c",750000,2017-06-27
"E20 1GW, 91dd2f1d930a717e988d785157dd1af8998b2440",999995,2017-11-24
"E20 1GW, b44ca354e2877591e53d67c7e9b1efd3c67f870e",900000,2017-11-24
"E20 1GW, 19d69e1f517ba2fde3b6fb231c588a613f53d5bb",765000,2017-06-27
"E20 1GW, 1ccfbd4f0b9982b8cede4786c291d1112e9755b0",750000,2017-07-13
"E20 1GW, bf74e230875a61dd6c2dd9363bc94331a02fcf8c",880000,2017-11-24
"E20 1GW, 35a37dfdf84053d32872063810636370e3e9ba5b",975000,2017-11-24
"E20 1GW, b7736992fa9a5952c66afb723a50b0a115c00cdc",975000,2017-11-24
"E20 1GW, afca2aca3d72398546f15f5fe42da822fb74401c",995995,2017-11-24
"E20 1GW, fa40c0b1f0eb9357183c4ab9dcf3c961ab0fa5f8",975000,2017-11-24
"E20 1GW, ec207378de8bc61f05855ccf6159ac5461dff719",880000,2017-11-24
"E20 1GW, c057f73f3e1df73d2c3945ba822328d344a482bf",780000,2017-06-27
"E20 1GW, b1c22b76f1f352d65e6e5c3a7d67f5398e7c8b7f",845000,2017-08-11
"E20 1GW, f8f800462eea9583b668a7a36f111716049b37b5",770000,2017-06-27
"E20 1GW, f8f800462eea9583b668a7a36f111716049b37b5",965000,2021-03-24
"E20 1GW, 775d24f219c01b13c63bcb847ba1fbaff302e3bb",775000,2017-06-27
"E20 1GW, ad7b7ee7b5f5a26924bfc6867b867055be79e060",765000,2017-06-27
"E20 1GW, ac4d998c2dc45f1ef8b114a687de95a1d709f6d4",999995,2018-12-21
"E20 1GW, ac4d998c2dc45f1ef8b114a687de95a1d709f6d4",1165000,2022-08-01
"E20 1GW, 733f31be8747a5c94909154239a049f717d7d6e4",999000,2018-12-21
"E20 1GW, d34782e2efcbfef0de94eadec6c83832edf75dad",999995,2018-12-21
"E20 1GW, 1ab1ac611d14fb618ad0b30f56f7699de4c6aab1",985000,2018-12-21
"E20 1GW, 916eb4888386827bfae462b185e7e9f9281e19b6",975000,2018-12-20
"E20 1GW, 98a90fcef811e9d45f6e52953824ac37c33b8756",999495,2018-12-21
"E20 1GW, 49e41997ce98d51def1a8080bee00814f79deca8",999000,2018-12-18
"E20 1GW, 4c23568cc71724b2b1227b0a9e78124d0d0620d7",960000,2019-04-12
"E20 1GW, 1f39262044f3d8b1cd576f16e2d41c6d356d0215",849000,2019-08-20
"E20 1GW, 2b3915049466b0b6a0c347e234edb802688b13e5",848500,2019-06-28
"E20 1GW, f7ffc49a2c10708ee6885f14f27d8d08573351ab",854000,2019-07-02
"E20 1GW, 54739c0d63f553ed8a28182f1bc02d8ff7e7587a",849000,2019-10-18
"E20 1GW, 0bcd0b0688f364a92a1915869e2bc320b46fdaa0",815000,2019-12-17
"E20 1GW, 3caf9962223d61f1c58486fca17167ae6690ebcb",854000,2019-07-03
"E20 1GW, 70fdd2b9deb81b4e18fda75a4edc0c920f4c6615",849000,2019-06-28
"E20 1GW, 96aa5050826cc30eaa7b4b2c371b0cf2f9056681",854000,2019-06-28
"E20 1GW, 7018ce6c51779c245c2ffc71301a477ffc5f3f99",849000,2019-06-28
"E20 1GW, b2c16cb0bd578393adccbba03da696f3a76bad2d",859000,2019-12-06
"E20 1GW, 2d15176dda8c4472310c69705598667955dffc26",994000,2021-03-26
"E20 1GW, fe42f124cdaa044b534e67f93673bda0148803be",990000,2021-05-19
"E20 1GW, 6e8f85c59694e58ec5e8d8d4f5dfd45165d0fa28",995000,2021-04-09
"E20 1GW, b9ca9ebe9a08e3724700b52f2dcb7db635465680",994000,2021-06-30
"E20 1GW, e0c28fd4b33d3f5c8c0628d8c5cb204538c04537",999000,2021-06-02
"E20 1GW, fd5c024aba40fcd9891b2682ed1bfe1863640ae7",655500,2021-12-23
"E20 1GW, c0315c83b1ae6a4ea917a8bead3b68794381d72d",700000,2021-12-23
"E20 1GW, 78030a10a979b7ae2345591c7b8d0693e8cc574a",695000,2021-12-22
"E20 1GW, 595a98a9de9c225dde663b5a72455b21ea88a4ad",720000,2021-12-20
"E20 1GW, 670ceeddc9a9ac2305b5cdd7d2452da6dbabf691",700000,2021-12-22
"E20 1GW, 0dd0d75af0b2ff826e227700e2104aaa47799ac3",720000,2021-12-29
"E20 1GW, e0c7a2e7963d595bb0ed23b367542f0b3cb5a2bf",720000,2021-12-23
"E20 1GW, ad1e0594341e2d2cd3734ea07cb985d810958def",999000,2021-04-15
"E20 1GW, 4f67917107d62d710cd85a9447b8ef503d44d249",994000,2021-05-27
"E20 1GW, 272a24b4b0a7ab8325338fff83d17de4d6469e23",999000,2021-04-06
"E20 1GW, 49b6a66ee6546cf972d77efdf3f56f82fb07b126",995000,2021-03-26
